,title,price,make,model,year,mileage,fuel_type,engine_power,engine_capacity,transmission,pollution_standard,gearbox,body_type,country_origin,original_owner,no_accident
0,Peugeot 3008 2.0 BlueHDI S&S EAT6 GT,17500,Peugeot,3008,2018,266 670 km,Diesel,180 CP,1 997 cm3,Fata,Euro 6,Automata,SUV,Italia,,
1,Volkswagen Passat CC 2.0 TDI 4Motion BlueMotion Technology DSG,13990,Volkswagen,Passat CC,2014,199 000 km,Diesel,177 CP,1 968 cm3,4x4 (manual),,Automata,Sedan,,,Da
2,BMW Seria 4 430d Coupe Sport-Aut. M Sport,22000,BMW,Seria 4,2014,260 000 km,Diesel,258 CP,2 993 cm3,Spate,,Automata,Coupe,Ungaria,,Da
3,BMW i3 94 Ah,13900,BMW,i3,2017,136 000 km,Electric,170 CP,,Spate,,Automata,Masina de oras,Germania,,Da
4,Volkswagen Golf 1.6 TDI BlueMotion Technology Trendline,4599,Volkswagen,Golf,2012,272 000 km,Diesel,110 CP,1 598 cm3,,,Manuala,Combi,,,
5,Mercedes-Benz GLC 300 de 4Matic 9G-TRONIC AMG Line Advanced,58298,Mercedes-Benz,GLC,2021,5 000 km,Hibrid,197 CP,1 993 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
6,Mini Cooper D Aut.,11690,Mini,Cooper,2014,141 000 km,Diesel,116 CP,1 496 cm3,Fata,Euro 6,Automata,Masina mica,Italia,Da,Da
7,Mazda 3 SKYACTIV-D 150 Automatik Sports-Line,11750,Mazda,3,2014,167 000 km,Diesel,150 CP,2 184 cm3,Fata,Euro 6,Automata,Compacta,Italia,Da,Da
8,Mazda CX-60,59490,Mazda,CX-60,2022,1 km,Hibrid,327 CP,2 488 cm3,4x4 (automat),Euro 6,Automata,SUV,Japonia,,Da
9,Volkswagen Golf,12497,Volkswagen,Golf,2016,145 902 km,Benzina,115 CP,999 cm3,Fata,Euro 6,Manuala,Compacta,Germania,,
10,BMW X5,15300,BMW,X5,2013,235 000 km,Diesel,286 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,SUV,Statele Unite ale Americii,Da,
